2025-12-30 12:20:48,729 | INFO | Signal Generation | Bar=2025-12-29T21:00:00 | Signals=0
2025-12-30 12:20:48,729 | INFO | Market Data| Timeframe=15m | O=2941.7700 H=2944.2300 L=2922.6700 C=2935.7600 V=164.0150
2025-12-30 12:20:48,729 | INFO | Signal Generation | Bar=2025-12-29T21:15:00 | Signals=0
2025-12-30 12:20:48,729 | INFO | Market Data| Timeframe=1h | O=2935.7600 H=3092.9900 L=2926.1700 C=2936.4900 V=472.0138
2025-12-30 12:20:48,734 | INFO | Signal Generation | Bar=2025-12-29T21:30:00 | Signals=0
2025-12-30 12:20:48,735 | INFO | Market Data| Timeframe=15m | O=2935.7600 H=3092.9900 L=2933.4000 C=2940.1800 V=121.3896
2025-12-30 12:20:48,736 | INFO | Signal Generation | Bar=2025-12-29T21:30:00 | Signals=0
2025-12-30 12:20:48,760 | INFO | backtesting completed, 0 orders logged
2025-12-30 12:28:51,903 | INFO | Market Data| Timeframe=1h | O=2928.7400 H=2928.7400 L=2927.5600 C=2927.7100 V=2.2020
2025-12-30 12:28:51,903 | INFO | Market Data| Timeframe=15m | O=2928.7400 H=2928.7400 L=2927.5600 C=2927.7100 V=2.2020
2025-12-30 12:28:51,903 | INFO | Market Data| Timeframe=1h | O=2928.7400 H=2928.7400 L=2925.6400 C=2926.1800 V=9.0001
2025-12-30 12:28:51,903 | INFO | Market Data| Timeframe=15m | O=2928.7400 H=2928.7400 L=2925.6400 C=2926.1800 V=9.0001
2025-12-30 12:28:51,903 | INFO | Market Data| Timeframe=1h | O=2928.7400 H=2928.7400 L=2925.6000 C=2926.6800 V=17.2339
2025-12-30 12:28:51,903 | INFO | Market Data| Timeframe=15m | O=2928.7400 H=2928.7400 L=2925.6000 C=2926.6800 V=17.2339
2025-12-30 12:28:51,914 | INFO | Market Data| Timeframe=1h | O=2928.7400 H=2928.7400 L=2924.9900 C=2925.0000 V=22.3021
2025-12-30 12:28:51,916 | INFO | Market Data| Timeframe=15m | O=2928.7400 H=2928.7400 L=2924.9900 C=2925.0000 V=22.3021
2025-12-30 12:28:51,917 | INFO | Market Data| Timeframe=1h | O=2928.7400 H=2928.7400 L=2922.8900 C=2924.3800 V=30.1814
2025-12-30 12:28:51,917 | INFO | Market Data| Timeframe=15m | O=2928.7400 H=2928.7400 L=2922.8900 C=2924.3800 V=30.1814
2025-12-30 12:28:51,917 | INFO | Market Data| Timeframe=1h | O=2928.7400 H=2928.7400 L=2922.8900 C=2923.1500 V=44.7314
2025-12-30 12:28:51,919 | INFO | Market Data| Timeframe=15m | O=2928.7400 H=2928.7400 L=2922.8900 C=2923.1500 V=44.7314
2025-12-30 12:28:51,921 | INFO | Market Data| Timeframe=1h | O=2928.7400 H=2928.7400 L=2922.8900 C=2926.6700 V=52.6390
2025-12-30 12:28:51,922 | INFO | Market Data| Timeframe=15m | O=2928.7400 H=2928.7400 L=2922.8900 C=2926.6700 V=52.6390
2025-12-30 12:28:51,923 | INFO | Market Data| Timeframe=1h | O=2928.7400 H=2928.7400 L=2922.8900 C=2927.6100 V=52.7843
2025-12-30 12:28:51,923 | INFO | Market Data| Timeframe=15m | O=2928.7400 H=2928.7400 L=2922.8900 C=2927.6100 V=52.7843
2025-12-30 12:28:51,923 | INFO | Market Data| Timeframe=1h | O=2928.7400 H=2929.1800 L=2922.8900 C=2929.1700 V=70.8703
2025-12-30 12:28:51,923 | INFO | Market Data| Timeframe=15m | O=2928.7400 H=2929.1800 L=2922.8900 C=2929.1700 V=70.8703
2025-12-30 12:28:51,923 | INFO | Market Data| Timeframe=1h | O=2928.7400 H=2931.0000 L=2922.8900 C=2930.7800 V=80.4243
2025-12-30 12:28:51,928 | INFO | Market Data| Timeframe=15m | O=2928.7400 H=2931.0000 L=2922.8900 C=2930.7800 V=80.4243
2025-12-30 12:28:51,928 | INFO | Market Data| Timeframe=1h | O=2928.7400 H=2934.0000 L=2922.8900 C=2934.0000 V=89.9842
2025-12-30 12:28:51,929 | INFO | Market Data| Timeframe=15m | O=2928.7400 H=2934.0000 L=2922.8900 C=2934.0000 V=89.9842
2025-12-30 12:28:51,929 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=2934.2200 L=2930.3800 C=2931.4300 V=19.2777
2025-12-30 12:28:51,929 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=2934.2200 L=2930.3800 C=2931.4300 V=19.2777
2025-12-30 12:28:51,929 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=2934.4300 L=2930.3800 C=2934.4300 V=34.3013
2025-12-30 12:28:51,934 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=2934.4300 L=2930.3800 C=2934.4300 V=34.3013
2025-12-30 12:28:51,934 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2955.7800 V=80.4417
2025-12-30 12:28:51,935 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2955.7800 V=80.4417
2025-12-30 12:28:51,935 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2945.8200 V=110.1164
2025-12-30 12:28:51,935 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2945.8200 V=110.1164
2025-12-30 12:28:51,935 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2949.0500 V=141.1032
2025-12-30 12:28:51,935 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2949.0500 V=141.1032
2025-12-30 12:28:51,941 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2954.7200 V=148.7714
2025-12-30 12:28:51,941 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2954.7200 V=148.7714
2025-12-30 12:28:51,942 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2959.5300 V=157.9558
2025-12-30 12:28:51,943 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2959.5300 V=157.9558
2025-12-30 12:28:51,944 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2958.4300 V=192.9247
2025-12-30 12:28:51,944 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2958.4300 V=192.9247
2025-12-30 12:28:51,944 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2957.5100 V=229.0966
2025-12-30 12:28:51,944 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2957.5100 V=229.0966
2025-12-30 12:28:51,948 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2958.0100 V=248.6574
2025-12-30 12:28:51,948 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2958.0100 V=248.6574
2025-12-30 12:28:51,948 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2956.7100 V=250.6609
2025-12-30 12:28:51,951 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2956.7100 V=250.6609
2025-12-30 12:28:51,951 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2951.5800 V=277.0513
2025-12-30 12:28:51,952 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2951.5800 V=277.0513
2025-12-30 12:28:51,954 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2955.6500 V=287.8303
2025-12-30 12:28:51,954 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2955.6500 V=287.8303
2025-12-30 12:28:51,956 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2955.7600 V=299.1253
2025-12-30 12:28:51,956 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2955.7600 V=299.1253
2025-12-30 12:28:51,957 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2957.9800 V=310.8330
2025-12-30 12:28:51,958 | INFO | Market Data| Timeframe=15m | O=2934.2200 H=3050.7400 L=2930.3800 C=2957.9800 V=310.8330
2025-12-30 12:28:51,960 | INFO | Market Data| Timeframe=1h | O=2934.2200 H=3050.7400 L=2930.3800 C=2954.0100 V=350.8270
2025-12-30 12:28:51,960 | INFO | Market Data| Timeframe=15m | O=2957.9800 H=2957.9800 L=2954.0100 C=2954.0100 V=39.9940
